customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TC-00013,Male,0,No,No,10,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,91.03,948.65,No
TC-00014,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.46,127.31,No
TC-00015,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,77.79,3879.58,No
TC-00016,Male,0,No,No,57,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,109.76,6285.73,No
TC-00017,Female,0,No,Yes,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),59.91,3463.79,No
TC-00018,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),95.02,1619.13,No
TC-00019,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,97.98,6467.54,Yes
TC-00020,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,19.03,325.21,No
TC-00021,Female,1,No,No,33,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),109.49,3637.12,No
TC-00022,Male,0,No,Yes,29,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,36.88,1049.12,No
TC-00023,Female,0,Yes,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),46.27,925.58,No
TC-00024,Female,1,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,105.08,786.41,Yes
TC-00025,Female,0,No,No,39,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),86.66,3355.91,No
TC-00026,Female,0,No,No,43,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,55.19,2416.07,No
TC-00027,Female,0,No,Yes,58,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,26.79,1522.07,No
TC-00028,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),56.62,1364.45,Yes
TC-00029,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,114.63,7997.48,No
TC-00030,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),28.46,1460.36,Yes
TC-00031,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,102.61,4757.95,No
TC-00032,Male,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,50.53,3575.14,No
TC-00033,Female,0,No,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,83.46,4379.07,No
TC-00034,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,81.15,3934.18,No
TC-00035,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),50.56,2102.06,No
TC-00036,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23.43,438.35,No
TC-00037,Female,1,No,No,65,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,32.88,2236.96,No
TC-00038,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),74.58,2475.65,No
TC-00039,Male,1,No,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,112.89,5925.36,Yes
TC-00040,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,110.58,110.58,No
TC-00041,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,29.35,1539.84,No
TC-00042,Male,0,No,Yes,14,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),105.52,1543.32,Yes
TC-00043,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,41.38,599.04,No
TC-00044,Female,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),108.99,2319.08,No
TC-00045,Female,0,Yes,Yes,65,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),93.85,6165.4,No
TC-00046,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),114.13,5164.18,No
TC-00047,Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),62.17,506.08,Yes
TC-00048,Male,0,No,No,65,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.16,6001.26,No
TC-00049,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.53,5938.0,Yes
TC-00050,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),67.62,1217.64,No
TC-00051,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),115.45,1736.72,Yes
TC-00052,Female,0,No,Yes,71,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,42.37,2971.62,No
TC-00053,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),116.62,3888.05,Yes
TC-00054,Female,1,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,99.21,6830.19,No
TC-00055,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,79.61,4954.54,No
TC-00056,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),25.56,1078.18,No
TC-00057,Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,43.94,1238.63,No
TC-00058,Male,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,102.13,6182.96,No
TC-00059,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),90.82,1349.14,No
TC-00060,Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,114.27,5906.89,No
TC-00061,Male,0,Yes,No,1,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,57.68,6.11,No
TC-00062,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),107.45,6434.98,No
TC-00063,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,104.18,326.19,No
TC-00064,Male,0,No,Yes,51,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,114.61,5868.38,No
TC-00065,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,45.25,1766.76,No
TC-00066,Female,0,No,No,51,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,67.45,3431.04,No
TC-00067,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),26.1,768.51,No
TC-00068,Male,1,No,Yes,25,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),77.09,1942.43,No
TC-00069,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,91.23,2313.17,Yes
TC-00070,Female,0,No,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,41.8,2153.57,No
TC-00071,Female,0,No,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),34.97,1656.49,No
TC-00072,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.95,872.86,Yes
TC-00073,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),57.31,372.61,No
TC-00074,Female,1,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),60.66,606.25,No
TC-00075,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),65.11,2817.11,No
TC-00076,Female,1,No,Yes,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,69.15,2316.98,Yes
TC-00077,Female,1,Yes,No,71,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),37.55,2644.01,No
TC-00078,Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,75.77,3404.43,No
TC-00079,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24.91,507.22,No
TC-00080,Female,0,Yes,No,40,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,29.35,1157.96,No
TC-00081,Male,1,No,No,21,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),89.15,1857.38,Yes
TC-00082,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.14,1737.29,No
TC-00083,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),44.63,1129.56,No
TC-00084,Female,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),36.47,2379.62,No
TC-00085,Male,0,Yes,No,70,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,23.4,1591.62,No
TC-00086,Male,1,No,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,59.89,750.1,No
TC-00087,Female,0,No,No,51,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.9,3555.53,No
TC-00088,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),107.95,4480.69,No
TC-00089,Female,0,No,No,70,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),18.25,1232.21,No
TC-00090,Female,0,No,No,18,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,58.59,1028.26,No
TC-00091,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.93,1510.01,Yes
TC-00092,Female,0,Yes,No,17,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,106.66,1802.45,Yes
TC-00093,Female,1,Yes,Yes,12,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),37.6,502.58,Yes
TC-00094,Female,1,Yes,Yes,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,24.62,24.62,Yes
TC-00095,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,56.16,1866.19,No
TC-00096,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),79.23,834.7,No
TC-00097,Female,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),103.81,5194.58,Yes
TC-00098,Female,0,Yes,No,0,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),44.9,44.9,No
TC-00099,Female,1,Yes,No,27,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,43.13,1169.42,No
TC-00100,Male,0,Yes,No,31,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,50.6,1575.01,No
TC-00101,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),29.82,2131.5,No
TC-00102,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,115.72,6327.28,No
TC-00103,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,72.06,1869.19,No
TC-00104,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,45.22,536.76,No
TC-00105,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,54.17,3689.52,No
TC-00106,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,104.6,6554.0,Yes
TC-00107,Female,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),85.37,1024.3,No
TC-00108,Female,0,No,No,26,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),73.32,1907.63,No
TC-00109,Female,0,No,Yes,40,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.48,3645.48,No
TC-00110,Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,93.58,47.14,No
TC-00111,Female,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),37.42,2136.34,No
TC-00112,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,33.87,709.35,Yes
TC-00113,Female,0,No,No,17,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),114.67,1917.13,No
TC-00114,Female,0,Yes,No,40,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,36.57,1515.03,No
TC-00115,Male,0,No,No,7,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),64.48,448.53,No
TC-00116,Female,1,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,116.28,3625.74,No
TC-00117,Male,1,No,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,59.72,2393.27,No
TC-00118,Female,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.48,3180.53,No
TC-00119,Female,1,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),97.84,832.54,No
TC-00120,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.04,2445.0,No
TC-00121,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.1,1392.1,No
TC-00122,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),51.22,2167.63,No
TC-00123,Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,46.74,2615.52,No
TC-00124,Male,0,No,Yes,65,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),65.18,4176.85,No
TC-00125,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.59,1623.13,No
TC-00126,Female,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.73,2887.69,Yes
TC-00127,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),65.01,97.11,No
TC-00128,Male,0,No,No,67,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),50.1,3331.52,No
TC-00129,Female,1,No,No,38,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,109.16,4110.53,No
TC-00130,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,51.59,2047.09,No
TC-00131,Female,0,No,Yes,70,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,95.5,6774.6,No
TC-00132,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.86,2101.94,No
TC-00133,Male,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),22.98,1084.72,No
TC-00134,Male,0,No,No,27,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),35.76,942.61,No
TC-00135,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),75.28,1176.95,No
TC-00136,Male,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,104.76,7026.55,No
TC-00137,Male,0,No,No,61,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,77.4,4688.73,No
TC-00138,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,92.27,3253.99,Yes
TC-00139,Male,0,No,No,21,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,91.44,1958.62,No
TC-00140,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),67.44,662.4,No
TC-00141,Female,0,No,No,41,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,74.08,3026.68,No
TC-00142,Male,0,No,Yes,54,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),25.13,1442.77,No
TC-00143,Female,0,Yes,Yes,34,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,110.77,3725.14,No
TC-00144,Female,1,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.43,4757.08,No
TC-00145,Female,1,No,Yes,33,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),33.45,1080.72,Yes
TC-00146,Male,1,Yes,No,69,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),42.4,3010.55,No
TC-00147,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,18.47,18.47,No
TC-00148,Male,0,Yes,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),44.4,2039.12,No
TC-00149,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),49.66,495.13,No
TC-00150,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,86.31,5269.27,No
TC-00151,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),65.67,2250.56,No
TC-00152,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.28,6847.47,No
TC-00153,Male,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),26.68,1574.65,No
TC-00154,Male,0,Yes,Yes,10,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.7,875.2,Yes
TC-00155,Male,1,Yes,No,11,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,105.49,1058.36,No
TC-00156,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),60.13,2505.19,No
TC-00157,Male,0,Yes,No,18,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),46.87,845.47,No
TC-00158,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,62.56,4139.06,No
TC-00159,Male,0,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,96.88,5542.47,Yes
TC-00160,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),109.9,124.73,No
TC-00161,Male,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.56,109.73,Yes
TC-00162,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),70.85,1436.55,No
TC-00163,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,81.97,1707.27,Yes
TC-00164,Female,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.75,536.47,Yes
TC-00165,Female,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.12,1239.46,No
TC-00166,Male,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),24.26,634.5,No
TC-00167,Female,0,Yes,No,36,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,47.04,1712.75,No
TC-00168,Male,0,No,No,20,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),38.54,791.9,No
TC-00169,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,66.68,766.77,No
TC-00170,Female,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.53,3966.12,Yes
TC-00171,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),102.22,4718.8,Yes
TC-00172,Male,0,No,No,14,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,48.43,708.42,No
TC-00173,Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.04,1496.86,No
TC-00174,Female,0,Yes,Yes,12,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,18.38,164.67,No
TC-00175,Female,0,No,No,58,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,102.46,6010.58,No
